pid,year,month,MC1000_lat,MC1000_lon,MC1000_mpw,MC1000,det_lat,det_lon,det_mpw,deterministic,stoch20days_lat,stoch20days_lon,stoch20days_mpw,stoch20days
1084,2010,1,29.98658,-85.4981,3.4606,Tyndall Air Force Base,29.94639,-85.45496,3.4547,Tyndall Air Force Base,29.95782,-85.45463,3.453,Tyndall Air Force Base
1098,2010,1,25.64594,-80.30828,3.6412,none,25.6281,-80.31281,3.6492,none,25.64956,-80.30801,3.6402,none
1106,2010,1,24.63723,-81.47955,3.467,none,24.62997,-81.48792,3.4832,none,24.63828,-81.48096,3.4716,none
1267,2010,1,,,,none,30.30589,-86.97151,0.9679,none,,,,none
1387,2010,1,,,,none,25.10449,-81.12481,4.8497,none,25.06434,-80.94105,4.8926,none
1389,2010,1,30.29919,-86.0462,4.8905,East (Walton) County Beaches,30.3142,-86.07339,4.8924,Deer Lake State Park,30.19982,-85.90239,5.037,none
1408,2010,1,,,,none,24.63412,-81.49767,5.0975,none,24.63368,-81.49714,5.0989,none
1414,2010,1,30.2058,-85.84192,4.8953,Panama City Beach,30.14299,-85.78455,4.8817,Panama City Beach,29.95275,-85.50641,4.9249,Tyndall Air Force Base
1417,2010,1,30.29584,-86.05402,4.902,East (Walton) County Beaches,30.30378,-86.0917,4.8977,Middle (Walton) County Beaches,30.29424,-86.04797,4.9015,East (Walton) County Beaches
1439,2010,1,25.21131,-80.34795,5.1502,none,25.21352,-80.38423,5.1564,none,25.20895,-80.381,5.146,none
1444,2010,1,24.69332,-81.41558,0.7884,none,,,,none,24.69682,-81.41475,0.7884,none
1665,2010,1,,,,none,,,,none,27.14741,-80.13887,1.5504,St. Lucie Inlet State Park
1692,2010,1,25.6358,-80.30907,1.4541,none,25.63391,-80.30235,1.4576,none,25.63461,-80.31175,1.4547,none
1694,2010,1,30.25321,-85.94705,1.4777,Panama City Beach,30.24118,-85.94434,1.4768,Panama City Beach,30.24428,-85.94456,1.4776,Panama City Beach
1698,2010,1,26.86275,-80.04185,1.5464,Jupiter/Juno Beach,,,,none,26.45571,-80.02255,1.5472,none
1701,2010,1,,,,none,,,,none,24.55442,-81.7167,1.4986,none
1702,2010,1,26.99693,-80.10478,1.5151,Jupiter Island,26.98727,-80.08938,1.5162,Jupiter Island,26.99874,-80.10602,1.515,Jupiter Island
1703,2010,1,27.24519,-80.19124,1.3346,Hutchinson Island,30.10706,-85.73434,1.4793,Saint Andrews State Park,30.09996,-85.74521,1.4809,none
1704,2010,1,30.20498,-85.84171,1.2277,Panama City Beach,30.20666,-85.84736,1.2293,Panama City Beach,30.20183,-85.84396,1.2283,Panama City Beach
1705,2010,1,,,,none,,,,none,26.59237,-80.00217,1.5472,none
1710,2010,1,27.20848,-80.18096,1.5514,Hutchinson Island,,,,none,27.19832,-80.15181,1.5495,Hutchinson Island
1720,2010,1,30.30634,-86.0985,1.4815,Middle (Walton) County Beaches,30.2469,-85.95901,1.4736,Panama City Beach,30.24474,-86.05267,1.5035,none
1721,2010,1,27.16263,-80.16975,1.5502,St. Lucie Inlet State Park,27.16421,-80.16702,1.5498,St. Lucie Inlet State Park,27.16484,-80.17145,1.5495,St. Lucie Inlet State Park
1725,2010,1,24.53381,-82.122,1.5591,none,,,,none,24.53381,-82.122,1.5591,none
1988,2010,1,28.67022,-80.73471,0.7843,none,28.67139,-80.73171,0.7844,none,,,,none
1993,2010,1,26.77224,-80.0546,0.8276,none,,,,none,25.19796,-80.27473,0.8336,none
2002,2010,1,24.51834,-82.10835,0.8404,none,,,,none,24.55899,-82.19107,0.84,none
2467,2010,1,24.58985,-82.10458,1.6206,Marquesas Keys,,,,none,24.58985,-82.10458,1.6206,Marquesas Keys
2498,2010,1,30.20845,-85.86189,0.4852,Panama City Beach,29.95405,-85.51324,0.491,Tyndall Air Force Base,30.21561,-85.90261,0.488,Panama City Beach
2588,2010,1,,,,none,,,,none,27.19269,-80.15595,0.3618,Hutchinson Island
2626,2010,1,30.2971,-86.04249,0.6518,East (Walton) County Beaches,30.31661,-86.07735,0.6526,Deer Lake State Park,30.29543,-86.04451,0.6517,East (Walton) County Beaches
2635,2010,1,25.69206,-80.25627,0.813,none,25.69768,-80.25457,0.8125,none,25.69348,-80.24966,0.8125,none
2652,2010,1,25.38668,-80.31423,0.4727,none,25.39211,-80.30009,0.4754,none,25.39311,-80.29677,0.4752,none
2659,2010,1,24.56205,-81.74998,0.4414,none,,,,none,24.55916,-81.75612,0.4413,Smathers Beach (Key West)
2671,2010,1,30.33535,-86.15442,0.7701,Grayton Beach State Park,29.51277,-81.1846,0.5902,none,30.33413,-86.1487,0.7697,Grayton Beach State Park
2679,2010,1,30.19255,-85.84079,0.7692,Panama City Beach,29.95605,-85.49861,0.774,Tyndall Air Force Base,29.95919,-85.50811,0.7741,Tyndall Air Force Base
2713,2010,1,,,,none,25.19844,-80.33356,0.7791,none,25.20172,-80.33058,0.779,none
