Beach,rank_sum_det,rank_sum_stoch20d,rank_Sum_MC1000,County,ccGenSubUn,ccMeanDens,ccCofVar,nYearsSurv,ccCount,meanSurvLe,ccDensClas,cmMeanDens,cmCofVar,cmCount,cmDensClas,dcMeanDens,dcCofVar,dcCount,dcDensClas,eiCount,lkCount,eiPresent,lkPresent,geometry_wkt
Alligator Point,139,122,91,Franklin,NW,2.48,0.93387045,5,119,9.6,HIGH,0,999.999,0,not present,0,999.999,0,not present,0,0,NO,NO,"MULTILINESTRING ((-84.42401 29.90402, -84.4239 29.90362, -84.42384 29.9034, -84.42379 29.90307, -84.42381 29.90295, -84.42376 29.90288, -84.42371 29.90281, -84.42363 29.90279, -84.42352 29.90276, -84.4233 29.90273, -84.42306 29.9027, -84.42267 29.90267, -84.42224 29.90267, -84.42201 29.90272, -84.42164 29.90275, -84.42101 29.90272, -84.42036 29.90272, -84.41951 29.90277, -84.41873 29.90276, -84.41752 29.90266, -84.41611 29.9026, -84.41575 29.9026, -84.41564 29.90258, -84.41516 29.90249, -84.41391 29.90241, -84.41273 29.90238, -84.41116 29.90224, -84.41028 29.90206, -84.40917 29.90193, -84.40834 29.90186, -84.40767 29.90167, -84.40702 29.90155, -84.4062 29.90135, -84.40565 29.90124, -84.40543 29.90119, -84.40481 29.90096, -84.40403 29.9007, -84.40296 29.90038, -84.40194 29.90012, -84.40146 29.89994, -84.40125 29.89988, -84.40061 29.89969, -84.39929 29.89929, -84.39833 29.89889, -84.39745 29.89853, -84.39696 29.8984, -84.39637 29.8982, -84.39602 29.89809, -84.39539 29.89791, -84.39491 29.89785, -84.39443 29.8976, -84.39394 29.89752, -84.39333 29.89725, -84.3919 29.89693, -84.39104 29.89669, -84.39002 29.89648, -84.38972 29.89633, -84.38883 29.89614, -84.38835 29.89602, -84.38815 29.89594, -84.38765 29.89585, -84.38725 29.89572, -84.3869 29.89564, -84.38623 29.89546, -84.38568 29.89524, -84.38525 29.89513, -84.38466 29.89492, -84.38415 29.89474, -84.3837 29.89456, -84.38293 29.89425, -84.38236 29.89398, -84.38188 29.89369, -84.38164 29.89359, -84.38151 29.89352, -84.38121 29.89347, -84.38088 29.89349, -84.38056 29.89352, -84.38015 29.89346, -84.3799 29.89355, -84.37955 29.89358, -84.37868 29.89368, -84.37834 29.89369, -84.37789 29.89369, -84.37761 29.8936, -84.37723 29.89351, -84.37673 29.89357, -84.37643 29.89371, -84.37601 29.89363, -84.37571 29.89355, -84.37523 29.89365, -84.37502 29.89375, -84.37492 29.89376, -84.3748 29.89377, -84.37458 29.89371, -84.37432 29.89365, -84.37428 29.89364, -84.37423 29.89365, -84.37365 29.89372, -84.37202 29.89406, -84.37102 29.89443, -84.36891 29.89513, -84.36804 29.89531, -84.36709 29.89553, -84.36641 29.89564, -84.36602 29.89565, -84.36581 29.89572, -84.3657 29.89576, -84.36532 29.89582, -84.3651 29.8959, -84.36456 29.89599, -84.36311 29.89612, -84.36172 29.89632, -84.36016 29.8965, -84.35901 29.89662, -84.35805 29.89665, -84.35665 29.89669, -84.35605 29.89674, -84.3555 29.89675, -84.35481 29.89679, -84.35378 29.89674, -84.35275 29.89659, -84.35212 29.89641, -84.35164 29.89649, -84.35027 29.8967, -84.34934 29.8969, -84.34918 29.89692, -84.34886 29.89697, -84.34874 29.89702, -84.34834 29.89717, -84.34771 29.89729, -84.34746 29.89734, -84.34731 29.89741, -84.34704 29.89751, -84.34634 29.89783, -84.3459 29.89811, -84.3456 29.89824, -84.34522 29.89852, -84.34481 29.89877, -84.3439 29.89957, -84.34363 29.89988))"
Amelia Island,180,140,152,Nassau,NO,11.204,0.23753899,5,717,12.8,MED,0.174,0.7310381,11,MED,0.172,1.08255127,11,MED,0,0,NO,NO,"MULTILINESTRING ((-81.42845 30.69083, -81.42861 30.68842, -81.4286 30.68799, -81.42867 30.68689, -81.42867 30.68566, -81.42863 30.68459, -81.42864 30.68337, -81.4287 30.68162, -81.42882 30.68016, -81.42886 30.67955, -81.42896 30.67872, -81.42908 30.67782, -81.42916 30.67665, -81.42948 30.67413, -81.42981 30.67193, -81.43001 30.67069, -81.43006 30.67029, -81.43016 30.66936, -81.4304 30.66824, -81.43046 30.66781, -81.43048 30.66754, -81.43049 30.66746, -81.43049 30.66742, -81.43054 30.66702, -81.43061 30.66671, -81.43078 30.66607, -81.43083 30.66589, -81.43089 30.66553, -81.43118 30.66341, -81.43132 30.66277, -81.43137 30.66218, -81.43186 30.65984, -81.43194 30.65931, -81.43201 30.65914, -81.43211 30.65873, -81.43219 30.65774, -81.43255 30.65634, -81.43329 30.65186, -81.43348 30.65135, -81.4338 30.64946, -81.43446 30.64534, -81.43472 30.64425, -81.4349 30.6436, -81.43513 30.64213, -81.4352 30.64152, -81.43551 30.64019, -81.43558 30.63991, -81.43574 30.63872, -81.4359 30.63772, -81.43634 30.63626, -81.43682 30.63327, -81.4369 30.63279, -81.4376 30.62877, -81.43781 30.6272, -81.4386 30.6227, -81.43863 30.62244, -81.43883 30.62105, -81.43888 30.62072, -81.43922 30.61869, -81.43937 30.61806, -81.43967 30.61701, -81.43975 30.61621, -81.44001 30.61469, -81.44015 30.61407, -81.44019 30.6134, -81.44075 30.60971, -81.44105 30.6082, -81.44141 30.60588, -81.44183 30.60247, -81.44213 30.59912, -81.44251 30.59517, -81.44265 30.59365, -81.44277 30.59091, -81.44284 30.58911, -81.4429 30.58679, -81.44297 30.58516, -81.44302 30.58216, -81.4431 30.58041, -81.44314 30.57855, -81.44319 30.57452, -81.44319 30.57236, -81.44315 30.56955, -81.44279 30.56257, -81.44277 30.56225, -81.44252 30.55884, -81.44232 30.55589, -81.44222 30.55493, -81.44197 30.55297, -81.44178 30.55118, -81.44138 30.5483, -81.44052 30.5434, -81.44041 30.54285, -81.44029 30.54221, -81.44009 30.54137, -81.4398 30.53987, -81.43923 30.53793, -81.43862 30.53508, -81.43781 30.53188, -81.43736 30.53032, -81.43685 30.52896, -81.43632 30.52754, -81.43611 30.52693, -81.43617 30.52634))"
Amelia Island State Park,96,73,35,Nassau,NO,2.504,0.49970103,5,20,1.6,LOW,0,999.999,0,not present,0,999.999,0,not present,0,0,NO,NO,"MULTILINESTRING ((-81.43617 30.52635, -81.43597 30.52373, -81.43571 30.51968, -81.43577 30.51763, -81.43592 30.51709, -81.43622 30.51625, -81.43718 30.5154, -81.43789 30.51504, -81.43872 30.51497, -81.43957 30.51561, -81.43999 30.51634, -81.44076 30.51678, -81.44161 30.51731, -81.44219 30.51847, -81.44259 30.51891, -81.44291 30.5193, -81.44377 30.51984, -81.44416 30.52049, -81.44445 30.52111, -81.44511 30.52146))"
Anastasia State Park,193,169,138,St. Johns,NO,4.814,0.26223731,5,154,6.4,LOW,0.722,0.94026879,23,MED,0.218,0.96078745,7,MED,0,0,NO,NO,"MULTILINESTRING ((-81.28401 29.9083, -81.28298 29.90852, -81.28187 29.90819, -81.28131 29.90793, -81.28088 29.90768, -81.28063 29.90748, -81.28007 29.90702, -81.2799 29.90683, -81.27944 29.90636, -81.27887 29.90569, -81.27827 29.90489, -81.27793 29.90421, -81.27702 29.90232, -81.27666 29.90096, -81.27639 29.90016, -81.27601 29.89859, -81.27573 29.89753, -81.27556 29.89669, -81.27546 29.89604, -81.27534 29.89503, -81.27504 29.89404, -81.27493 29.893, -81.27466 29.89173, -81.27468 29.89054, -81.27446 29.88967, -81.27405 29.88776, -81.27389 29.88701, -81.27358 29.88632, -81.27353 29.886, -81.27346 29.88571, -81.27338 29.88541, -81.27331 29.88513, -81.27322 29.88489, -81.27313 29.88463, -81.27306 29.88441, -81.27299 29.88413, -81.27203 29.88095, -81.2714 29.87871, -81.27132 29.87812, -81.27085 29.87647, -81.26923 29.8712, -81.26886 29.87009, -81.26867 29.86883, -81.26822 29.86745, -81.26768 29.86555, -81.26718 29.86403, -81.26707 29.8634, -81.26684 29.86214, -81.26665 29.86097, -81.26614 29.85957))"
Anclote Key State Park,153,189,37,Pinellas,CW,0.106,1.00638757,5,4,7.58,LOW,0,999.999,0,not present,0,999.999,0,not present,0,0,NO,NO,"MULTILINESTRING ((-82.83776 28.15737, -82.8384 28.15688, -82.83909 28.1566, -82.84014 28.15655, -82.84116 28.15684, -82.84237 28.15753, -82.84344 28.15836, -82.84491 28.1602, -82.84532 28.16111, -82.84582 28.16207, -82.84663 28.1631, -82.84703 28.16363, -82.84731 28.16408, -82.84762 28.16472, -82.8479 28.16544, -82.84806 28.16589, -82.84825 28.16626, -82.84839 28.16664, -82.84865 28.16716, -82.84874 28.16758, -82.84885 28.16797, -82.84886 28.16823, -82.84897 28.16883, -82.84914 28.16953, -82.84931 28.17023, -82.84947 28.17079, -82.84962 28.17127, -82.8498 28.17187, -82.84983 28.17246, -82.84992 28.17293, -82.84999 28.17394, -82.85002 28.17428, -82.85007 28.17464, -82.85013 28.17537, -82.85027 28.17583, -82.85029 28.17611, -82.85034 28.17656, -82.85041 28.17765, -82.8504 28.17808, -82.85053 28.17881, -82.85067 28.18019, -82.85066 28.18163, -82.85075 28.18206, -82.85081 28.18356, -82.85091 28.18485, -82.85097 28.18556, -82.85107 28.18709, -82.85116 28.18842, -82.8512 28.1891, -82.85126 28.18968, -82.85125 28.19008, -82.85131 28.19198, -82.85138 28.19354, -82.85146 28.19439, -82.85144 28.19498, -82.85144 28.19588, -82.85145 28.19663, -82.85145 28.19745, -82.85143 28.19819, -82.85143 28.19875, -82.85146 28.19926, -82.85147 28.19968, -82.85149 28.20036, -82.85149 28.20101, -82.85153 28.20146, -82.85155 28.2019, -82.85153 28.20243, -82.8516 28.20312, -82.85161 28.2039, -82.8517 28.20461, -82.85179 28.20544, -82.85186 28.20616, -82.8519 28.20694, -82.85193 28.20754, -82.852 28.20819, -82.85205 28.20903, -82.85213 28.2097, -82.85208 28.21013, -82.85205 28.21055, -82.85199 28.2109, -82.85188 28.21141, -82.85172 28.21198, -82.85157 28.21257, -82.85131 28.21317, -82.85098 28.21375, -82.8507 28.21415, -82.85028 28.21436, -82.84955 28.21477, -82.8489 28.21497, -82.8484 28.21505, -82.84763 28.21488), (-82.83855 28.23359, -82.83883 28.2341, -82.83916 28.23414, -82.8395 28.23418, -82.83995 28.23393, -82.84076 28.23371, -82.84128 28.23333, -82.84158 28.23295, -82.84183 28.23259, -82.8421 28.23217, -82.84227 28.23145, -82.84222 28.23076, -82.84228 28.23019, -82.84242 28.2296, -82.84262 28.2291, -82.84271 28.2285, -82.8429 28.22791, -82.84293 28.22743, -82.84297 28.22698, -82.84273 28.22598, -82.84239 28.22536, -82.84239 28.22481, -82.84194 28.22418, -82.84187 28.22373, -82.8419 28.22321, -82.84182 28.22262, -82.84153 28.22235, -82.84125 28.22223, -82.84086 28.22212, -82.83967 28.22233))"
Anna Maria Island,195,193,147,Manatee,CW,21.556,0.44167383,5,1261,11.7,MED,0.138,1.28957007,8,MED,0,999.999,0,not present,0,0,NO,NO,"MULTILINESTRING ((-82.71979 27.52716, -82.71995 27.52733, -82.72028 27.5276, -82.72042 27.5277, -82.72043 27.52772, -82.72054 27.52781, -82.72059 27.52787, -82.7206 27.52791, -82.72058 27.52795, -82.72118 27.52823, -82.72127 27.52828, -82.72137 27.52835, -82.72154 27.52848, -82.72165 27.52854, -82.72174 27.5286, -82.72181 27.52862, -82.72194 27.52866, -82.72205 27.52868, -82.72217 27.52871, -82.72232 27.52877, -82.72293 27.52898, -82.72326 27.52907, -82.72376 27.52925, -82.72388 27.5293, -82.72405 27.52938, -82.72425 27.52944, -82.72436 27.52947, -82.72465 27.5296, -82.72475 27.52964, -82.72487 27.5297, -82.72488 27.5297, -82.72492 27.52972, -82.7251 27.52979, -82.72556 27.53001, -82.72565 27.53004, -82.72578 27.53009, -82.7259 27.53014, -82.72607 27.53021, -82.72619 27.53025, -82.72658 27.53044, -82.72715 27.53071, -82.72764 27.53094, -82.72859 27.53138, -82.72914 27.53163, -82.72993 27.53202, -82.73037 27.53221, -82.73091 27.53251, -82.73105 27.53259, -82.73116 27.53267, -82.73128 27.53275, -82.73135 27.53278, -82.73147 27.53284, -82.73156 27.53288, -82.73164 27.53292, -82.73184 27.53304, -82.7319 27.53309, -82.73197 27.53315, -82.73203 27.53318, -82.7321 27.53322, -82.73216 27.53325, -82.73226 27.53331, -82.73233 27.53336, -82.73245 27.53343, -82.73255 27.53348, -82.7326 27.53351, -82.73264 27.53355, -82.73267 27.53356, -82.73268 27.53356), (-82.73285 27.53381, -82.73293 27.53382, -82.73299 27.53383, -82.73308 27.53387, -82.73321 27.53393, -82.73349 27.53413, -82.73421 27.53453, -82.73499 27.5349, -82.73555 27.53524, -82.73632 27.53569, -82.73702 27.53609, -82.73739 27.53632, -82.73797 27.53669, -82.73829 27.53691, -82.73859 27.53712, -82.73906 27.53743, -82.73915 27.53751, -82.73928 27.5376, -82.73944 27.53769, -82.73965 27.53781, -82.73979 27.53791, -82.73989 27.53798, -82.74001 27.53806, -82.74013 27.53813, -82.74042 27.53828, -82.74054 27.53835, -82.74062 27.53839, -82.74072 27.53845, -82.7408 27.5385, -82.74095 27.53859, -82.74104 27.53865, -82.74109 27.53868, -82.74131 27.53877, -82.74168 27.53891, -82.7417 27.53892, -82.74217 27.53899, -82.74265 27.53899, -82.74327 27.53899, -82.74379 27.53898, -82.74424 27.53896, -82.745 27.53887, -82.74548 27.53882, -82.74566 27.53877, -82.74614 27.53847, -82.74659 27.53789, -82.74657 27.53767, -82.74656 27.53767, -82.74584 27.53719, -82.74494 27.53656, -82.74408 27.53592, -82.74377 27.53551, -82.74373 27.53521, -82.74384 27.53519, -82.744 27.53515, -82.744 27.53508, -82.74398 27.53505, -82.74389 27.5349, -82.74383 27.53483, -82.74374 27.53472, -82.74342 27.53431, -82.7432 27.53396, -82.74315 27.53385, -82.74309 27.5337, -82.74307 27.53354, -82.74307 27.53346, -82.74323 27.53343, -82.74319 27.53324, -82.74306 27.53323, -82.74291 27.53302, -82.74285 27.53291, -82.74253 27.53244, -82.74252 27.53242, -82.74241 27.53203, -82.74209 27.53097, -82.74167 27.52998, -82.74086 27.52928, -82.74019 27.5288, -82.7396 27.52799, -82.73933 27.52777, -82.73915 27.52745, -82.73847 27.52661, -82.73774 27.5259, -82.73699 27.52524, -82.73647 27.52466, -82.73496 27.52326, -82.73388 27.52221, -82.73346 27.5218, -82.73337 27.5218, -82.73318 27.52161, -82.73291 27.52137, -82.73246 27.52095, -82.73203 27.52068, -82.73177 27.52048, -82.73166 27.52037, -82.73158 27.52028, -82.73143 27.52013, -82.73118 27.51994, -82.73103 27.51982, -82.73088 27.51971, -82.73074 27.51961, -82.73051 27.51945, -82.73028 27.51927, -82.73008 27.51909, -82.72966 27.51869, -82.72938 27.51845, -82.72924 27.51828, -82.72908 27.51811, -82.7289 27.51795, -82.72872 27.51779, -82.72853 27.51764, -82.7284 27.51753, -82.72827 27.51738, -82.72811 27.51723, -82.72798 27.51712, -82.72785 27.51702, -82.72751 27.51675, -82.72735 27.51659, -82.72725 27.51647, -82.72683 27.51607, -82.72672 27.51595, -82.72664 27.51586, -82.72654 27.51579, -82.72641 27.51569, -82.72627 27.51556, -82.72618 27.51545, -82.72607 27.51533, -82.72595 27.51522, -82.72582 27.51508, -82.72531 27.51456, -82.72478 27.51398, -82.72431 27.51351, -82.72387 27.513, -82.72344 27.5125, -82.72299 27.51198, -82.7226 27.51151, -82.72207 27.5109, -82.72164 27.51037, -82.72145 27.51012, -82.7215 27.51008, -82.72078 27.50916, -82.71997 27.50818, -82.71895 27.50674, -82.7177 27.50495, -82.71747 27.50468, -82.71753 27.50467, -82.71697 27.50393, -82.71601 27.50237, -82.71487 27.50036, -82.71469 27.50011, -82.71468 27.50005, -82.71468 27.50003, -82.71466 27.49989, -82.71459 27.49971, -82.71456 27.49966, -82.7145 27.49968, -82.71372 27.49831, -82.71244 27.49651, -82.71148 27.49488, -82.71133 27.49451, -82.71131 27.49452, -82.71072 27.49348, -82.7102 27.4923, -82.70932 27.49044, -82.7086 27.48883, -82.70858 27.48872, -82.70852 27.48873, -82.708 27.48758, -82.70734 27.4859, -82.70705 27.48508, -82.70661 27.48416, -82.70638 27.48369, -82.70632 27.48356, -82.70632 27.48352, -82.7063 27.48352, -82.7055 27.48106, -82.70501 27.47944, -82.70491 27.47914, -82.70491 27.47907, -82.70405 27.477, -82.70316 27.47502, -82.70259 27.47361, -82.70256 27.4735, -82.70244 27.47332, -82.70189 27.47207, -82.70148 27.4711, -82.70107 27.47023, -82.70076 27.46931, -82.70045 27.46834, -82.70044 27.46828, -82.70038 27.46829, -82.69984 27.46665, -82.69923 27.46454, -82.69858 27.4627, -82.69855 27.4626, -82.69852 27.4626, -82.69815 27.46195, -82.69794 27.46151, -82.69773 27.46084, -82.69741 27.4601, -82.69704 27.45945, -82.69677 27.45876, -82.69653 27.4581, -82.69624 27.45752, -82.69599 27.45717, -82.696 27.45709, -82.69599 27.45708, -82.69585 27.45683, -82.69579 27.45671, -82.69572 27.45655, -82.69567 27.45644, -82.69546 27.45589, -82.69528 27.45553, -82.69508 27.45519, -82.69501 27.45505, -82.69495 27.45494, -82.69494 27.45487, -82.69484 27.45461, -82.6946 27.45393, -82.69435 27.45341, -82.694 27.45267, -82.69364 27.45172, -82.69336 27.45097, -82.69338 27.45098, -82.69331 27.45092, -82.69315 27.45036, -82.69293 27.44993, -82.69273 27.44948, -82.69273 27.44935, -82.69239 27.44871, -82.69239 27.44868, -82.69237 27.44869, -82.69212 27.44815, -82.69171 27.44738, -82.69128 27.44641, -82.69103 27.44523, -82.69096 27.44427))"
Avalon State Park,138,138,92,St. Lucie,CE,103.856,0.22480245,5,1454,2.8,MED,6.142,0.42449895,86,MED,1.786,0.44821869,25,MED,0,0,NO,NO,"MULTILINESTRING ((-80.32157 27.55729, -80.32145 27.55699, -80.32137 27.55674, -80.32129 27.55636, -80.32107 27.55596, -80.32097 27.55556, -80.32074 27.55494, -80.3205 27.5542, -80.32029 27.55349, -80.3199 27.55224, -80.31881 27.54886, -80.31818 27.5468, -80.31782 27.54521, -80.31754 27.54436, -80.31737 27.54366, -80.31717 27.54303, -80.31705 27.54253, -80.31664 27.54132, -80.31626 27.54002, -80.31574 27.53846, -80.31557 27.53771, -80.31518 27.53668, -80.31504 27.53626, -80.31481 27.53545, -80.31467 27.53498, -80.31444 27.53429, -80.31427 27.53373, -80.31402 27.533, -80.31392 27.53259))"
Bahia Honda State Park,40,78,48,Monroe,SE,5.192,0.47991145,5,122,4.7,LOW,0.042,2.23606798,1,LOW,0,999.999,0,not present,2,0,YES,NO,"MULTILINESTRING ((-81.27939 24.65648, -81.27942 24.6564, -81.27944 24.65633, -81.27951 24.6562, -81.2796 24.6561, -81.27971 24.65597, -81.27983 24.65585, -81.27997 24.65572, -81.28007 24.65564, -81.28018 24.65554, -81.28031 24.65546, -81.28041 24.6554, -81.28052 24.65532, -81.2806 24.65528, -81.28072 24.65521, -81.28081 24.65517, -81.28092 24.65513), (-81.24994 24.6686, -81.24988 24.6685, -81.24981 24.66841, -81.24975 24.66828, -81.24971 24.66803, -81.24976 24.66782, -81.24984 24.66765, -81.24996 24.66751, -81.25027 24.66717, -81.25063 24.66697, -81.2509 24.6668, -81.25107 24.66667, -81.25129 24.66643, -81.25154 24.66619, -81.25182 24.66594, -81.25197 24.66583, -81.2521 24.66575, -81.25227 24.66565, -81.25252 24.66556, -81.25283 24.66551, -81.2531 24.66541, -81.25373 24.66526, -81.25425 24.66506, -81.25489 24.66487, -81.25516 24.66483, -81.25539 24.6648, -81.25577 24.66478, -81.25615 24.66472, -81.25653 24.66461, -81.25692 24.66449, -81.25769 24.66424, -81.25841 24.6639, -81.25916 24.66344, -81.2595 24.66324, -81.25976 24.6631, -81.26009 24.66293, -81.26039 24.66277, -81.26117 24.66238, -81.26217 24.66182, -81.26258 24.6616, -81.26288 24.66141, -81.2635 24.66114, -81.26403 24.66094, -81.26429 24.66088, -81.26477 24.66077, -81.26511 24.66066, -81.26544 24.66058, -81.26564 24.66054, -81.26587 24.6605, -81.26609 24.66049, -81.26651 24.66041, -81.26686 24.66028, -81.26713 24.66021, -81.26728 24.66024, -81.26739 24.66035, -81.26751 24.66043, -81.26769 24.66044, -81.26795 24.6604, -81.268 24.66047, -81.26805 24.66056, -81.26797 24.66073, -81.26794 24.66083, -81.26799 24.66091, -81.26818 24.6611, -81.26824 24.66114, -81.26836 24.66116, -81.26839 24.66135, -81.2685 24.66143, -81.26857 24.66143, -81.26868 24.66145, -81.2687 24.66147, -81.26877 24.66149, -81.26884 24.66149, -81.26965 24.66136, -81.27044 24.66115, -81.27068 24.66106, -81.2713 24.66081, -81.27163 24.66069, -81.27201 24.66055, -81.27227 24.66047, -81.27249 24.66038, -81.27291 24.66019, -81.27343 24.65985, -81.2738 24.65957, -81.27421 24.65938, -81.2747 24.65893, -81.27513 24.65851, -81.2754 24.65823, -81.276 24.65757, -81.27636 24.65712, -81.27693 24.65649, -81.27725 24.65619, -81.27751 24.65597, -81.27799 24.65564, -81.27847 24.65527, -81.27871 24.65508, -81.27909 24.6548, -81.27941 24.65458, -81.27968 24.65441, -81.28029 24.65419, -81.28063 24.65414, -81.28087 24.65416, -81.28102 24.65424, -81.28112 24.65431))"
Bald Point State Park,126,80,127,Franklin,NW,0.21,1,5,5,4.8,LOW,0,999.999,0,not present,0,999.999,0,not present,0,0,NO,NO,"MULTILINESTRING ((-84.34363 29.89988, -84.34303 29.90056, -84.34271 29.90085, -84.34251 29.90105, -84.34226 29.90124, -84.34225 29.90136, -84.34217 29.9016, -84.34203 29.90173, -84.34195 29.90178, -84.34147 29.90235, -84.34114 29.90284, -84.34081 29.90334, -84.34081 29.90334, -84.34061 29.90352, -84.34042 29.90382, -84.34026 29.90421, -84.34026 29.9046, -84.34026 29.90487, -84.34009 29.90531, -84.33973 29.90585, -84.33958 29.90601, -84.33946 29.90621, -84.33921 29.90666, -84.33888 29.90734, -84.3386 29.90774, -84.33845 29.90795, -84.33803 29.9085, -84.33762 29.90923, -84.33737 29.90964, -84.33734 29.90975, -84.33716 29.91015, -84.33698 29.91068, -84.33685 29.91102, -84.33671 29.91139, -84.33662 29.91161, -84.33643 29.91225, -84.3363 29.91275, -84.33622 29.91294, -84.33607 29.91349, -84.33588 29.9141, -84.33583 29.91427, -84.33574 29.91453, -84.33571 29.91465, -84.3356 29.91498, -84.33542 29.91564, -84.33523 29.91626, -84.33511 29.91674, -84.33503 29.91701, -84.33484 29.91779, -84.33456 29.91866, -84.33454 29.91873, -84.33409 29.9209, -84.33385 29.9218, -84.3337 29.92234, -84.33365 29.92244, -84.33352 29.92301, -84.33344 29.92374, -84.33345 29.92445, -84.33348 29.9254, -84.33356 29.9262, -84.33372 29.92736, -84.33387 29.92845, -84.33389 29.92853, -84.33399 29.92892, -84.334 29.92911, -84.33404 29.9297, -84.33423 29.93075, -84.3345 29.93196, -84.33455 29.93228, -84.33471 29.93277, -84.33478 29.9331, -84.33486 29.93373, -84.33492 29.93415, -84.33502 29.93473, -84.33511 29.93524, -84.33516 29.93551, -84.3355 29.93685, -84.33552 29.93732, -84.33559 29.93764, -84.33569 29.93806, -84.3358 29.93841, -84.33597 29.93968, -84.336 29.93998, -84.33607 29.94053, -84.33612 29.94129, -84.33615 29.94168, -84.33626 29.94231, -84.33637 29.94273, -84.33651 29.94342, -84.33679 29.94407, -84.337 29.94454, -84.337 29.94454, -84.33703 29.94463, -84.33722 29.94505, -84.3375 29.94547, -84.33769 29.94574, -84.33789 29.94608, -84.33832 29.94653, -84.33867 29.9468, -84.33899 29.94695, -84.33926 29.94701, -84.33948 29.94716, -84.33968 29.94739, -84.33996 29.94766, -84.34032 29.94785, -84.34062 29.94792, -84.34073 29.94788))"
Barefoot Beach Preserve,64,38,18,Collier,SW,26.122,0.40279512,5,640,4.9,HIGH,0,999.999,0,not present,0,999.999,0,not present,0,0,NO,NO,"MULTILINESTRING ((-81.84576 26.33022, -81.84542 26.32926, -81.84484 26.32775, -81.84416 26.32613, -81.84382 26.32543, -81.84361 26.32476, -81.84323 26.32388, -81.84299 26.32327, -81.8426 26.32213, -81.84221 26.321, -81.84181 26.32015, -81.84133 26.31882, -81.84091 26.31779, -81.84053 26.31699, -81.84019 26.31606, -81.8398 26.31508, -81.83948 26.31429, -81.8389 26.31278, -81.83826 26.3111, -81.83726 26.30836, -81.83676 26.30706, -81.83632 26.30572, -81.83579 26.30398, -81.83538 26.30271, -81.83487 26.30115, -81.83419 26.29899, -81.83373 26.29758, -81.83344 26.29659, -81.83318 26.29566, -81.83288 26.29437, -81.83263 26.29326, -81.83223 26.29206, -81.83194 26.29089, -81.83166 26.29029, -81.83145 26.28988, -81.83117 26.28964, -81.83095 26.28955, -81.83093 26.28955))"
